% Model:              Main1-recovery1.mph
% Version:            COMSOL 6.3.0.290
% Date:               Nov 13 2025, 18:50
% Table:              Table 4 - Global Evaluation 2
% mesh_scale                                      Eigenfrequency (THz)                              Quality factor (1)
1                                                 467.0732970437931+1.6474056844939455i             141.76025414992722
1                                                 467.84455886393675+2.1628612617384744i            108.15408439279423
1                                                 468.142861515945+2.4925538100574163i              93.90827584684345
1                                                 468.3322248856584+1.361637195773815i              171.97393929133466
1                                                 468.4900977113497+4.071700327718428i              57.5300316825953
1                                                 468.7758256383289+2.245471142654006i              104.38250947288176
1                                                 468.9377593157844+3.4639829672213898i             67.68765374327744
1                                                 469.26901358067744+1.6568922494912333i            141.61120426653318
1                                                 470.31343822681345+2.83477689966617i              82.9542244192477
1                                                 470.3187530099628+3.955704395891125i              59.448167246583566
1                                                 470.79653274479125+2.1259051731476784i            110.72848843199247
1                                                 471.01618927064806+1.391808846405834i             169.21008602833152
1                                                 471.3308974417682+2.9868582336050142i             78.9007814530406
1                                                 471.83396215045747+1.6398399338406107i            143.86585922608677
1                                                 472.14227906524553+2.155655966720507i             109.5124375953961
1                                                 472.5373100859288+2.4884274229132144i             94.9469744897617
1                                                 473.23560644803365+1.4805986430659557i            159.81225184297045
1                                                 473.41763910653935+3.3874881335389695i            69.87738708503629
1                                                 473.4600800518946+2.1266391712001544i             111.31650504318995
1                                                 474.068499432269+1.6917463028932003i              140.11217244025414
1.2                                               466.94706188223097+1.6477137786181404i            141.6954412658482
1.2                                               467.84141451954537+2.1601264996983955i            108.2902817462003
1.2                                               468.13512598941173+2.4898654668413975i            94.00811654761418
1.2                                               468.3048419924682+1.3603543483943012i             172.12605029903915
1.2                                               468.6727154039782+2.246723118875264i              104.30139599013012
1.2                                               468.92111388233786+3.462992762280118i             67.70460495759005
1.2                                               469.24445242656236+1.6589132691606503i            141.43127948575122
1.2                                               470.22903274434987+2.8457966795626417i            82.61817088363063
1.2                                               470.30205009592703+3.936115217599441i             59.741905927077376
1.2                                               470.7707936515173+2.1308412436245936i             110.46594744213064
1.2                                               470.89805568726143+1.383999959700038i             170.1221348985161
1.2                                               471.2874130000338+2.91556372901539i               80.8226910476746
1.2                                               471.7148300842307+1.64220430867542i               143.6224553766728
1.2                                               472.13548554976416+2.154438637251888i             109.57273913171194
