% Model:              Main1-recovery1.mph
% Version:            COMSOL 6.3.0.290
% Date:               Nov 13 2025, 18:33
% Table:              Table 1 - 
% mesh_scale                                      Eigenfrequency (THz)                              Frequency (THz)                                   Quality factor (1)                                Frequency (THz)                                   Quality factor (1)                                Frequency (THz)                                   Quality factor (1)
1                                                 467.0732970437931+1.6474056844939455i             467.0732970437931                                 141.76025414992722                                467.0732970437931                                 141.76025414992722                                467.0732970437931                                 141.76025414992722
1                                                 467.84455886393675+2.1628612617384744i            467.84455886393675                                108.15408439279423                                467.84455886393675                                108.15408439279423                                467.84455886393675                                108.15408439279423
1                                                 468.142861515945+2.4925538100574163i              468.142861515945                                  93.90827584684345                                 468.142861515945                                  93.90827584684345                                 468.142861515945                                  93.90827584684345
1                                                 468.3322248856584+1.361637195773815i              468.3322248856584                                 171.97393929133466                                468.3322248856584                                 171.97393929133466                                468.3322248856584                                 171.97393929133466
1                                                 468.4900977113497+4.071700327718428i              468.4900977113497                                 57.5300316825953                                  468.4900977113497                                 57.5300316825953                                  468.4900977113497                                 57.5300316825953
1                                                 468.7758256383289+2.245471142654006i              468.7758256383289                                 104.38250947288176                                468.7758256383289                                 104.38250947288176                                468.7758256383289                                 104.38250947288176
1                                                 468.9377593157844+3.4639829672213898i             468.9377593157844                                 67.68765374327744                                 468.9377593157844                                 67.68765374327744                                 468.9377593157844                                 67.68765374327744
1                                                 469.26901358067744+1.6568922494912333i            469.26901358067744                                141.61120426653318                                469.26901358067744                                141.61120426653318                                469.26901358067744                                141.61120426653318
1                                                 470.31343822681345+2.83477689966617i              470.31343822681345                                82.9542244192477                                  470.31343822681345                                82.9542244192477                                  470.31343822681345                                82.9542244192477
1                                                 470.3187530099628+3.955704395891125i              470.3187530099628                                 59.448167246583566                                470.3187530099628                                 59.448167246583566                                470.3187530099628                                 59.448167246583566
1                                                 470.79653274479125+2.1259051731476784i            470.79653274479125                                110.72848843199247                                470.79653274479125                                110.72848843199247                                470.79653274479125                                110.72848843199247
